19.5.0.10.in-addr.arpa	name = mail.shire.org.
20.5.0.10.in-addr.arpa	name = www.shire.org.
21.5.0.10.in-addr.arpa	name = bios.shire.org.
22.5.0.10.in-addr.arpa	name = ns.shire.org.
23.5.0.10.in-addr.arpa	name = cupcake.shire.org.
24.5.0.10.in-addr.arpa	name = bifur.shire.org.5.0.10.in-addr.arpa.
25.5.0.10.in-addr.arpa	name = pippin.shire.org.
26.5.0.10.in-addr.arpa	name = prancingpony.shire.org.
27.5.0.10.in-addr.arpa	name = arwen.shire.org.
28.5.0.10.in-addr.arpa	name = nancurunir.shire.org.
31.5.0.10.in-addr.arpa	name = gloin.shire.org.
32.5.0.10.in-addr.arpa	name = bree.shrire.org.
250.5.0.10.in-addr.arpa	name = fw-rivendell.shire.org.
